cle,texte
hero_tag,Du fait maison avec amour
hero_titre,Des plats savoureux faits maison pour tous
hero_soustitre,Cuisine authentique saine et equilibree livree aux entreprises et aux particuliers.
citation_texte,Manger sainement c'est prendre soin de soi.
apropos_titre,Une passion : vous offrir le meilleur du fait maison
apropos_texte,Les plats de Bintou est ne d'une envie simple : partager les repas sains et savoureux de la cuisine familiale.
valeur1,Qualite
valeur2,Fraicheur
valeur3,Authenticite
valeur4,Satisfaction client
contact_telephone,+225 XX XX XX XX XX
contact_whatsapp,+225 XX XX XX XX XX
contact_email,contact@lesplatsdebintou.ci
contact_adresse,Yamoussoukro Cote d'Ivoire
contact_horaires,Lun-Sam : 7h00-20h00
entreprise_arguments,Livraison directe sur le lieu de service midi ou soir;Aucune demarche compliquee pour vos employes;Menus adaptes assaisonnement maitrise;Prix etudies pour un dejeuner regulier
